Year,Grande Sector ID,Grande Sector,Section ID,Section,Division ID,Division,Number workers
2018,2,Indústria,C,Indústrias De Transformação,C13,Fabricação De Produtos Têxteis,4
2018,2,Indústria,C,Indústrias De Transformação,C14,Confecção De Artigos Do Vestuário E Acessórios,44
2018,2,Indústria,C,Indústrias De Transformação,C15,"Preparação De Couros E Fabricação De Artefatos De Couro, Artigos Para Viagem E Calçados",17
2018,2,Indústria,C,Indústrias De Transformação,C16,Fabricação De Produtos De Madeira,35
2018,2,Indústria,C,Indústrias De Transformação,C17,"Fabricação De Celulose, Papel E Produtos De Papel",175
2018,2,Indústria,C,Indústrias De Transformação,C18,Impressão E Reprodução De Gravações,18
2018,2,Indústria,C,Indústrias De Transformação,C20,Fabricação De Produtos Químicos,0
2018,2,Indústria,C,Indústrias De Transformação,C21,Fabricação De Produtos Farmoquímicos E Farmacêuticos,442
2018,2,Indústria,C,Indústrias De Transformação,C22,Fabricação De Produtos De Borracha E De Material Plástico,321
2018,2,Indústria,C,Indústrias De Transformação,C23,Fabricação De Produtos De Minerais Não Metálicos,72
2018,2,Indústria,C,Indústrias De Transformação,C24,Metalurgia,149
2018,2,Indústria,C,Indústrias De Transformação,C25,"Fabricação De Produtos De Metal, Exceto Máquinas E Equipamentos",348
2018,2,Indústria,C,Indústrias De Transformação,C26,"Fabricação De Equipamentos De Informática, Produtos Eletrônicos E Ópticos",45
2018,2,Indústria,C,Indústrias De Transformação,C27,"Fabricação De Máquinas, Aparelhos E Materiais Elétricos",382
2018,2,Indústria,C,Indústrias De Transformação,C28,Fabricação De Máquinas E Equipamentos,243
2018,2,Indústria,C,Indústrias De Transformação,C29,"Fabricação De Veículos Automotores, Reboques E Carrocerias",79
2018,2,Indústria,C,Indústrias De Transformação,C31,Fabricação De Móveis,123
2018,2,Indústria,C,Indústrias De Transformação,C32,Fabricação De Produtos Diversos,39
2018,2,Indústria,C,Indústrias De Transformação,C33,"Manutenção, Reparação E Instalação De Máquinas E Equipamentos",1
2018,2,Indústria,E,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação",E36,"Captação, Tratamento E Distribuição De Água",3
2018,2,Indústria,E,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação",E38,"Coleta, Tratamento E Disposição De Resíduos, Recuperação De Materiais",59
2018,2,Indústria,F,Construção,F41,Construção De Edifícios,15
2018,2,Indústria,F,Construção,F42,Obras De Infraestrutura,2
2018,2,Indústria,F,Construção,F43,Serviços Especializados Para Construção,63
2018,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G45,Comércio E Reparação De Veículos Automotores E Motocicletas,115
2018,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G46,"Comércio Por Atacado, Exceto Veículos Automotores E Motocicletas",152
2018,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G47,Comércio Varejista,1747
2018,4,Serviços,H,"Transporte, armazenagem e correio",H49,Transporte Terrestre,69
2018,4,Serviços,H,"Transporte, armazenagem e correio",H52,Armazenamento E Atividades Auxiliares Dos Transportes,26
2018,4,Serviços,H,"Transporte, armazenagem e correio",H53,Correio E Outras Atividades De Entrega,41
2018,4,Serviços,H,"Transporte, armazenagem e correio",H55,Alojamento,2
2018,4,Serviços,I,Alojamento E Alimentação,I56,Alimentação,128
2018,4,Serviços,J,Informação E Comunicação,J58,Edição E Edição Integrada À Impressão,0
2018,4,Serviços,J,Informação E Comunicação,J59,"Atividades Cinematográficas, Produção De Vídeos E De Programas De Televisão, Gravação De Som E Edição De Música",0
2018,4,Serviços,J,Informação E Comunicação,J61,Telecomunicações,16
2018,4,Serviços,J,Informação E Comunicação,J62,Atividades Dos Serviços De Tecnologia Da Informação,1
2018,4,Serviços,J,Informação E Comunicação,J63,Atividades De Prestação De Serviços De Informação,0
2018,4,Serviços,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",K64,Atividades De Serviços Financeiros,71
2018,4,Serviços,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",K65,"Seguros, Resseguros, Previdência Complementar E Planos De Saúde",1
2018,4,Serviços,K,"Atividades Financeiras, De Seguros E Serviços Relacionados",K66,"Atividades Auxiliares Dos Serviços Financeiros, Seguros, Previdência Complementar E Planos De Saúde",3
2018,4,Serviços,L,Atividades Imobiliárias,L68,Atividades Imobiliárias,1
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M69,"Atividades Jurídicas, De Contabilidade E De Auditoria",100
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M70,Atividades De Sedes De Empresas E De Consultoria Em Gestão Empresarial,0
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M71,"Serviços De Arquitetura E Engenharia, Testes E Análises Técnicas",0
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M73,Publicidade E Pesquisa De Mercado,1
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M74,"Outras Atividades Profissionais, Científicas E Técnicas",4
2018,4,Serviços,M,"Atividades Profissionais, Científicas E Técnicas",M75,Atividades Veterinárias,3
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N77,Aluguéis Não Imobiliários E Gestão De Ativos Intangíveis Não Financeiros,65
